Hectare,Regime,Total Volume,Total Biomassyt,Total Carbon Stockyt,Remaining Trees,Unique Species,objective,Year,Type,carbon_loss
1,20,53699.387129580005,399509607.15546525,187769515.36306864,5879,436,sp,2036,Predicted,89763.22
4,12,54812.17807012613,407385291.1244742,191471086.82850286,5493,419,sp,2036,Predicted,89763.22
5,20,49620.988942857424,368339959.2636151,173119780.85389906,5678,466,sp,2036,Predicted,89763.22
2,16,43660.064572751726,324149049.236776,152350053.1412847,5934,439,sp,2036,Predicted,89763.22
2,12,43660.064572751726,324149049.236776,152350053.1412847,5934,439,sp,2036,Predicted,89763.22
2,20,43660.064572751726,324149049.236776,152350053.1412847,5934,439,sp,2036,Predicted,89763.22
5,16,49620.988942857424,368339959.2636151,173119780.85389906,5678,466,sp,2036,Predicted,89763.22
5,12,49620.988942857424,368339959.2636151,173119780.85389906,5678,466,sp,2036,Predicted,89763.22
3,16,52440.633964685825,389908621.2728406,183257051.99823508,3856,416,sp,2036,Predicted,89763.22
1,12,53699.387129580005,399509607.15546525,187769515.36306864,5879,436,sp,2036,Predicted,89763.22
4,20,54812.17807012613,407385291.1244742,191471086.82850286,5493,419,sp,2036,Predicted,89763.22
1,16,53699.387129580005,399509607.15546525,187769515.36306864,5879,436,sp,2036,Predicted,89763.22
3,12,52440.633964685825,389908621.2728406,183257051.99823508,3856,416,sp,2036,Predicted,89763.22
4,16,54653.103536395276,406209420.8750274,190918427.81126288,5480,419,volume,2036,Predicted,652.09
3,20,52200.741192261645,388134557.54571724,182423242.0464871,3839,416,volume,2036,Predicted,652.09
1,20,53500.2467130445,398037294.2770908,187077528.31023267,5863,436,volume,2036,Predicted,652.09
4,12,54680.435730811274,406411385.8327805,191013351.34140682,5483,419,volume,2036,Predicted,652.09
5,20,49419.06856060386,366843784.42266047,172416578.6786504,5668,466,volume,2036,Predicted,652.09
2,16,43540.11452725151,323262563.57844234,151933404.8818679,5921,439,volume,2036,Predicted,652.09
2,12,43560.00531172154,323409536.1791207,152002482.00418672,5925,439,volume,2036,Predicted,652.09
2,20,43518.051365115054,323099432.70549,151856733.37158024,5918,439,volume,2036,Predicted,652.09
5,16,49429.83583448915,366923332.88138795,172453966.4542523,5669,466,volume,2036,Predicted,652.09
5,12,49429.83583448915,366923332.88138795,172453966.4542523,5669,466,volume,2036,Predicted,652.09
3,16,52241.04761331719,388432366.3503796,182563212.18467838,3843,416,volume,2036,Predicted,652.09
1,12,53573.337190439925,398577581.79315627,187331463.44278342,5869,436,volume,2036,Predicted,652.09
4,20,54653.103536395276,406209420.8750274,190918427.81126288,5480,419,volume,2036,Predicted,652.09
1,16,53548.03953330031,398390640.2667485,187243600.92537177,5867,436,volume,2036,Predicted,652.09
3,12,52289.99484033763,388794413.6197429,182733374.40127912,3846,416,volume,2036,Predicted,652.09
